인간의 심장은 오른쪽 가슴에 위치한다.,X
서울은 대한민국의 수도가 아니다.,X
수은은 고체 상태의 금속이다.,X
태양은 지구에서 가장 먼 별이다.,X
인간의 뇌는 근육 세포로 구성된다.,X
코끼리는 조류에 속한다.,X
물은 50°C에서 끓는다.,X
인간의 눈은 6개의 감각 기관 중 하나이다.,X
자전거는 3개의 바퀴를 가지고 있다.,X
인간의 코는 청각 기관이다.,X
인간의 혀는 후각 기관이다.,X
인간의 귀는 촉각 기관이다.,X
인간의 피부는 생각하는 기관이다.,X
인간의 심장은 음식을 소화하는 기관이다.,X
인간의 폐는 소변을 생성하는 기관이다.,X
인간의 간은 배설물을 제거하는 기관이다.,X
인간의 신장은 음식을 섭취하는 기관이다.,X
인간의 위는 호흡하는 기관이다.,X
인간의 장은 스트레스를 받는 기관이다.,X
인간의 항문은 체온을 조절하는 기관이다.,X
인간의 코는 색상을 감지하는 기관이다.,X
인간의 입은 균형을 유지하는 기관이다.,X
인간의 귀는 후각을 느끼는 기관이다.,X
인간의 눈은 촉각을 느끼는 기관이다.,X
인간의 피부는 생각하는 기관이다.,X
인간의 심장은 음식을 섭취하는 기관이다.,X
인간의 폐는 소변을 생성하는 기관이다.,X
인간의 간은 배설물을 제거하는 기관이다.,X
인간의 신장은 음식을 소화하는 기관이다.,X
인간의 위는 호흡하는 기관이다.,X
인간의 장은 스트레스를 받는 기관이다.,X
인간의 항문은 체온을 조절하는 기관이다.,X
인간의 코는 색상을 감지하는 기관이다.,X
인간의 입은 균형을 유지하는 기관이다.,X
인간의 귀는 후각을 느끼는 기관이다.,X
인간의 눈은 촉각을 느끼는 기관이다.,X
인간의 피부는 생각하는 기관이다.,X
인간의 심장은 음식을 섭취하는 기관이다.,X
인간의 폐는 소변을 생성하는 기관이다.,X
인간의 간은 배설물을 제거하는 기관이다.,X
인간의 신장은 음식을 소화하는 기관이다.,X
인간의 위는 호흡하는 기관이다.,X
인간의 장은 스트레스를 받는 기관이다.,X
인간의 항문은 체온을 조절하는 기관이다.,X
인간의 코는 색상을 감지하는 기관이다.,X
인간의 입은 균형을 유지하는 기관이다.,X
인간의 귀는 후각을 느끼는 기관이다.,X
인간의 눈은 촉각을 느끼는 기관이다.,X
인간의 피부는 생각하는 기관이다.,X
인간의 심장은 음식을 섭취하는 기관이다.,X
인간의 폐는 소변을 생성하는 기관이다.,X
인간의 간은 배설물을 제거하는 기관이다.,X
인간의 신장은 음식을 소화하는 기관이다.,X
인간의 위는 호흡하는 기관이다.,X
인간의 장은 스트레스를 받는 기관이다.,X
인간의 항문은 체온을 조절하는 기관이다.,X
인간의 코는 색상을 감지하는 기관이다.,X
인간의 입은 균형을 유지하는 기관이다.,X
인간의 귀는 후각을 느끼는 기관이다.,X
혈액 속에 있는 혈소판은 출혈 시 응고된다.,O
울릉도는 행정구역 상 경상북도에 속한다.,O
위액은 강한 알카리성이다.,X
인간의 심장은 오른쪽 가슴에 위치한다.,X
수은은 액체 상태의 금속이다.,O
태양은 지구에서 가장 가까운 별이다.,O
인간의 뇌는 신경 세포로 구성된다.,O
코끼리는 포유류에 속한다.,O
서울은 대한민국의 수도이다.,O
물은 100°C에서 끓는다.,O
